METRO_ID	Metropolitan areas	Year	CO2_PC	ENTROPY_1000M	EQU_HOU_DISP_INC	GDP_PC	GINI_INC	GREEN_AREA_PC	LABOUR_PRODUCTIVITY	PCT_INTENSITY	POP_DENS	SPRAWL	UNEMP_R	Country
AUS02	Melbourne	2013				39358.19		35.03	77549.44		430.03		5.99	AU
AUS03	Brisbane	2000	11.03			32509.64		697.75	67459.13		107.48		7.05	AU
AUS03	Brisbane	2001				34543.73		683.82	72915.99		109.67		8.12	AU
AUS03	Brisbane	2002				34567.94		667.2	68114.78		112.4		6.91	AU
AUS03	Brisbane	2003				36276.83		650.37	73332.0		115.31		6.26	AU
AUS03	Brisbane	2004				38110.19		635.09	76440.97		118.09		5.28	AU
AUS03	Brisbane	2005	13.87			40292.69		620.55	78433.29		120.85		4.65	AU
AUS03	Brisbane	2006				41679.69		606.88	79854.67		123.58		4.19	AU
AUS03	Brisbane	2007				42087.6		591.19	79619.83		126.86		3.74	AU
AUS03	Brisbane	2008	13.64			43632.33		575.53	81906.68		130.31		3.35	AU
AUS03	Brisbane	2009				40965.64		559.87	77742.97		133.95		4.78	AU
AUS03	Brisbane	2010				40495.97		549.28	77196.75		136.53		5.06	AU
AUS03	Brisbane	2011			34963.0	41533.06		539.28	79585.04		139.07		4.83	AU
AUS03	Brisbane	2012				41294.8		528.0	80418.36		142.04		5.52	AU
AUS03	Brisbane	2013				41042.69		517.91	80856.29		144.8		5.65	AU
AUS04	Perth	2000	7.79			39505.15		54.6	81611.93		226.8		6.1	AU
AUS04	Perth	2001				40402.99		53.69	83508.28		230.66		7.02	AU
AUS04	Perth	2002				41573.05		52.99	83969.09		233.7		6.19	AU
AUS04	Perth	2003				42824.99		52.23	116720.35		237.11		8.09	AU
AUS04	Perth	2004				44447.26		51.4	89698.85		240.94		5.22	AU
AUS04	Perth	2005	7.82			48893.47		50.58	95147.58		244.87		4.5	AU
AUS04	Perth	2006				53051.62		49.55	101637.4		249.93		3.65	AU
AUS04	Perth	2007				55152.36		47.98	103846.95		258.1		3.24	AU
AUS04	Perth	2008	7.55			58007.35		46.43	106755.68		266.72		2.98	AU
AUS04	Perth	2009				57388.49		44.93	108665.42		275.67		4.96	AU
AUS04	Perth	2010				64368.88		43.87	121517.26		282.29		4.56	AU
AUS04	Perth	2011			40330.0	67287.52		42.62	126730.34		290.6		4.28	AU
AUS04	Perth	2012				65158.07		41.02	120435.51		301.9		3.99	AU
AUS04	Perth	2013				67662.15		39.61	127317.64		312.68		4.34	AU
AUS05	Adelaide	2000	8.15			31830.63		32.61	69665.32		351.6		7.62	AU
AUS05	Adelaide	2001				33189.82		32.35	73402.73		354.42		7.27	AU
AUS05	Adelaide	2002				33923.69		32.16	71382.37		356.57		6.52	AU
AUS05	Adelaide	2003				34910.87		31.96	55579.21		358.82		4.71	AU
AUS05	Adelaide	2004				35018.89		31.78	73935.78		360.76		6.04	AU
AUS05	Adelaide	2005	7.67			35119.69		31.55	72326.78		363.48		5.51	AU
AUS05	Adelaide	2006				35768.22		31.23	72866.58		367.15		5.12	AU
AUS05	Adelaide	2007				36941.91		30.84	75301.8		371.77		5.17	AU
AUS05	Adelaide	2008	7.62			35965.05		30.45	72665.32		376.5		4.98	AU
AUS05	Adelaide	2009				36696.1		30.02	74687.17		382.01		5.96	AU
AUS05	Adelaide	2010				36662.65		29.64	73101.47		386.87		5.37	AU
AUS05	Adelaide	2011			33112.0	36666.43		29.38	73288.85		390.26		5.47	AU
AUS05	Adelaide	2012				37133.41		29.05	75124.66		394.74		5.53	AU
AUS05	Adelaide	2013				37402.31		28.76	76381.54		398.68		6.31	AU
AUS06	Gold Coast-Tweed Heads	2000	4.25			32509.64		285.41	69877.96		210.14		8.12	AU
AUS06	Gold Coast-Tweed Heads	2001				34543.73		278.39	72861.66		215.44		8.68	AU
AUS06	Gold Coast-Tweed Heads	2002				34567.94		267.88	68417.58		223.89		6.79	AU
AUS06	Gold Coast-Tweed Heads	2003				36276.83		257.32	74745.66		233.07		6.6	AU
AUS06	Gold Coast-Tweed Heads	2004				38110.19		249.15	80250.59		240.72		5.1	AU
AUS06	Gold Coast-Tweed Heads	2005	3.79			40292.69		241.95	81379.91		247.88		4.18	AU
AUS06	Gold Coast-Tweed Heads	2006				41679.69		234.82	81931.6		255.41		4.02	AU
AUS06	Gold Coast-Tweed Heads	2007				42087.6		226.38	78429.99		264.93		3.25	AU
AUS06	Gold Coast-Tweed Heads	2008	3.63			43632.33		219.61	84263.32		273.1		3.9	AU
AUS06	Gold Coast-Tweed Heads	2009				40965.64		213.34	80552.13		281.12		5.53	AU
AUS06	Gold Coast-Tweed Heads	2010				40495.97		209.03	79766.05		286.92		6.14	AU
AUS06	Gold Coast-Tweed Heads	2011			30989.0	41533.06		205.42	79825.21		291.96		6.14	AU
AUS06	Gold Coast-Tweed Heads	2012				41294.8		200.95	81152.35		298.46		5.58	AU
AUS06	Gold Coast-Tweed Heads	2013				41042.69		197.09	81752.66		304.31		5.65	AU
AUT	Austria	2000	8.92			37641.78			81772.33	0.97	97.04		4.69	AU
AUT	Austria	2001				38060.99			82587.63	0.89	97.27		4.01	AU
AUT	Austria	2002				38486.37			84579.81	1.07	97.79		4.85	AU
AUT	Austria	2003				38601.92			83487.6	1.16	98.24		4.78	AU
AUT	Austria	2004				39440.47			89054.1	1.32	98.76		5.83	AU
AUT	Austria	2005	10.69			39995.97			87533.05	1.42	99.47		5.63	AU
AUT	Austria	2006				41071.1			88607.72	1.59	100.11		5.24	AU
AUT	Austria	2007				42411.12			89532.73	1.6	100.46		4.86	AU
AUT	Austria	2008	10.23			42937.64			89313.09	1.43	100.78		4.13	AU
AUT	Austria	2009				41172.53			86176.78		101.11		5.3	AU
AUT	Austria	2010				41863.11			87043.04		101.33		4.82	AU
AUT	Austria	2011				43027.71			88926.1		101.62		4.56	AU
AUT	Austria	2012				43237.84			89006.98		102.03	-0.9	4.87	AU
AUT	Austria	2013				43112.24			88771.07		102.56		5.33	AU
BE001	Brussels	2000	10.73			50468.28		327.98	126423.35	1.24	689.41		8.93	BE
BE001	Brussels	2001				51040.39		324.8	131954.98	1.28	696.17		8.15	BE
BE001	Brussels	2002				51540.13		321.64	134805.89	1.04	703.01		9.85	BE
BE001	Brussels	2003				51320.2		318.5	133351.93	0.97	709.94		9.71	BE
BE001	Brussels	2004				52575.36		315.38	133636.77	1.19	716.96		8.89	BE
BE001	Brussels	2005	9.93			53171.57		312.28	134004.53	1.19	724.08		10.58	BE
BE001	Brussels	2006				53613.74		309.2	136901.24	1.22	731.28	-5.87	10.85	BE
BE001	Brussels	2007				54423.96		306.15	135810.26	1.35	738.59		10.32	BE
BE001	Brussels	2008	9.48			54519.18		303.11	134144.08	1.24	745.99		9.83	BE
BE001	Brussels	2009				53501.72		300.09	132800.27		753.49		10.14	BE
BE001	Brussels	2010				54631.33		297.1	135047.33		761.09		11.22	BE
BE001	Brussels	2011				54172.54		294.12	134286.65		768.79		10.22	BE
BE001	Brussels	2012				53207.53		291.17	131909.57		776.59	-11.0	10.78	BE
BE001	Brussels	2013			27533.0	52807.0	0.374	288.23	132937.1		784.5		12.08	BE
BE002	Antwerp	2000	16.03			42272.81		335.61	102277.45	0.63	844.6		4.22	BE
BE002	Antwerp	2001				41680.25		333.46	104808.7	0.7	850.03		4.26	BE
BE002	Antwerp	2002				42436.25		331.33	104610.84	0.89	855.51		4.89	BE
BE002	Antwerp	2003				42291.13		329.2	105751.04	0.73	861.05		6.05	BE
BE002	Antwerp	2004				43885.34		327.08	107917.44	0.93	866.63		5.18	BE
BE002	Antwerp	2005	14.83			44921.77		324.97	107759.92	1.62	872.26		6.11	BE
BE002	Antwerp	2006				45501.86		322.86	108769.66	1.49	877.94	-2.75	5.62	BE
BE002	Antwerp	2007				46547.9		320.77	108651.9	1.29	883.68		4.95	BE
BE002	Antwerp	2008	15.13			46631.6		318.68	107952.77	1.08	889.46		4.52	BE
BE002	Antwerp	2009				44422.34		316.61	104877.08		895.3		5.63	BE
BE002	Antwerp	2010				45242.08		314.53	105221.06		901.19		6.0	BE
BE002	Antwerp	2011				45946.48		312.47	108276.52		907.13		5.61	BE
BE002	Antwerp	2012				46185.46		310.42	108777.97		913.13	-1.9	5.2	BE
BE002	Antwerp	2013			26831.0	45941.89	0.293	308.38	108437.6		919.18		6.07	BE
BE003	Ghent	2000	19.0			31114.84		795.6	71244.67	1.3	530.14		3.14	BE
BE003	Ghent	2001				31230.81		790.37	72403.44	1.08	533.65		3.63	BE
BE003	Ghent	2002				31886.52		785.17	75992.99	1.34	537.19		5.62	BE
BE003	Ghent	2003				32214.41		779.98	76323.43	1.32	540.76		5.06	BE
BE003	Ghent	2004				33244.58		774.83	78378.3	1.62	544.35		4.05	BE
BE003	Ghent	2005	17.15			33579.41		769.7	76828.41	1.41	547.98		4.95	BE
BE003	Ghent	2006				34407.63		764.59	78925.81	1.65	551.64	-3.0	4.53	BE
BE003	Ghent	2007				35686.91		759.52	80836.41	1.73	555.33		4.82	BE
BE003	Ghent	2008	17.18			35607.09		754.47	78595.35	1.61	559.04		3.62	BE
BE003	Ghent	2009				34837.91		749.45	77699.23		562.79		4.2	BE
BE003	Ghent	2010				35359.67		744.44	78871.26		566.57		5.25	BE
BE003	Ghent	2011				35920.51		739.47	80581.39		570.38		3.76	BE
BE003	Ghent	2012				35918.2		734.53	80700.22		574.22	-3.4	4.12	BE
BE003	Ghent	2013			28164.0	35932.49	0.291	729.61	79998.13		578.09		4.0	BE
BE005	Liege	2000	12.01			26891.51		514.58	72369.98	0.61	491.13		8.36	BE
BE005	Liege	2001				26800.82		512.3	74063.43	0.67	493.32		9.38	BE
BE005	Liege	2002				26776.11		510.03	75025.16	0.69	495.52		8.75	BE
BE005	Liege	2003				26707.36		507.76	73417.5	0.68	497.73		9.57	BE
BE005	Liege	2004				27450.48		505.49	77352.81	0.57	499.97		12.98	BE
BE005	Liege	2005	11.33			27759.25		503.23	75417.33	0.55	502.21		11.92	BE
BE005	Liege	2006				28477.22		500.98	76124.35	0.61	504.47	-2.29	11.52	BE
BE005	Liege	2007				29207.08		498.72	78642.8	0.55	506.75		10.85	BE
BE005	Liege	2008	11.16			29585.34		496.48	78277.59	0.52	509.04		10.52	BE
BE005	Liege	2009				28746.54		494.24	76322.3		511.35		12.11	BE
BE005	Liege	2010				28992.95		492.0	77091.7		513.67		11.53	BE
BE005	Liege	2011				29651.75		489.77	77809.04		516.01		9.48	BE
BE005	Liege	2012				29355.16		487.55	77455.62		518.37	-1.8	10.67	BE
BE005	Liege	2013			23732.0	29182.61	0.309	485.33	77406.12		520.74		11.65	BE
BEL	Belgium	2000	12.2			36021.95			89522.27	0.79	337.61		6.59	BE
BEL	Belgium	2001				36268.68			92170.66	0.76	338.41		6.18	BE
BEL	Belgium	2002				36668.85			93287.04	0.78	339.94		6.91	BE
BEL	Belgium	2003				36830.36			94068.34	0.81	341.46		7.68	BE
BEL	Belgium	2004				37946.72			95200.31	0.94	342.8		7.36	BE
BEL	Belgium	2005	11.4			38482.41			94909.94	0.97	344.43		8.44	BE
BEL	Belgium	2006				39248.34			96752.88	1.04	346.59		8.25	BE
BEL	Belgium	2007				40146.53			97009.86	1.1	349.0		7.46	BE
BEL	Belgium	2008	11.17			40216.49			96489.77	1.02	351.72		6.98	BE
BEL	Belgium	2009				38849.36			94498.68		354.56		7.91	BE
BEL	Belgium	2010				39502.05			95394.76		356.86		8.29	BE
BEL	Belgium	2011				39741.07			96514.99		361.12		7.14	BE
BEL	Belgium	2012				39473.28			96294.14		363.91	-6.0	7.54	BE
BEL	Belgium	2013				39354.91			96422.29		366.01		8.43	BE
CAN	Canada	2000	18.36			36757.37			76417.28	0.73	3.37		6.83	CA
CAN	Canada	2001				36974.48			76811.36	0.75	3.41		7.22	CA
CAN	Canada	2002				37600.97			77109.66	0.75	3.45		7.66	CA
CAN	Canada	2003				37981.88			76739.91	0.73	3.48		7.57	CA
CAN	Canada	2004				38810.52			77884.43	0.78	3.51		7.19	CA
CAN	Canada	2005	18.7			39660.2			79309.0	0.86	3.55		6.76	CA
CAN	Canada	2006				40289.96			80035.64	0.92	3.58		6.32	CA
CAN	Canada	2007				40702.43			79825.56	0.92	3.62		6.04	CA
CAN	Canada	2008	16.77			40737.61			79620.06	0.78	3.66		6.14	CA
CAN	Canada	2009				39181.87			78769.84		3.7		8.34	CA
CAN	Canada	2010				40055.27			80291.58		3.74		8.06	CA
CAN	Canada	2011				40835.65			81436.02		3.78		7.51	CA
CAN	Canada	2012				41130.61			81969.04		3.82		7.29	CA
CAN	Canada	2013				41474.72			82415.11		3.87		7.07	CA
CAN01	Edmonton	2000	52.1			52271.8		6660.62	96703.31		47.46		5.47	CA
CAN01	Edmonton	2001				52781.83		6515.75	96782.2		48.51		5.01	CA
CAN01	Edmonton	2002				50831.22		6391.95	91960.51		49.45		5.24	CA
CAN01	Edmonton	2003				54570.86		6270.37	96808.28		50.41		4.96	CA
CAN01	Edmonton	2004				57915.61		6150.94	101696.21		51.39		4.77	CA
CAN01	Edmonton	2005	48.64			63809.59		6033.67	114261.64		52.39		4.48	CA
CAN01	Edmonton	2006				66337.73		5918.52	117353.89		53.41		3.84	CA
CAN01	Edmonton	2007				66526.26		5772.26	113588.46		54.76		3.82	CA
CAN01	Edmonton	2008	44.07			71263.74		5629.3	119751.52		56.15		3.73	CA
CAN01	Edmonton	2009				59473.17		5489.56	103005.95		57.58		6.62	CA
CAN01	Edmonton	2010				61957.94		5352.97	110431.74		59.05		6.86	CA
CAN01	Edmonton	2011		0.062		64821.06		5219.49	112011.63		60.56		5.38	CA
CAN01	Edmonton	2012				65926.15		5103.99	112113.87		61.93		4.57	CA
CAN01	Edmonton	2013			37509.0	68085.56	0.376	4990.86	115199.6		63.34		4.76	CA
CAN04	Calgary	2000	13.94			52271.8		1530.55	89296.43		78.17		4.55	CA
CAN04	Calgary	2001				52781.83		1490.89	89157.58		80.25		4.61	CA
CAN04	Calgary	2002				50831.22		1452.53	86128.02		82.37		5.59	CA
CAN04	Calgary	2003				54570.86		1415.1	92310.29		84.55		5.29	CA
CAN04	Calgary	2004				57915.61		1378.56	97462.65		86.79		4.97	CA
CAN04	Calgary	2005	14.71			63809.59		1342.89	107515.53		89.09		3.94	CA
CAN04	Calgary	2006				66337.73		1308.08	106120.74		91.46		3.24	CA
CAN04	Calgary	2007				66526.26		1273.36	105757.52		93.96		3.21	CA
CAN04	Calgary	2008	13.84			71263.74		1239.44	112768.4		96.53		3.33	CA
CAN04	Calgary	2009				59473.17		1206.31	97846.21		99.18		6.59	CA
CAN04	Calgary	2010				61957.94		1173.95	105575.13		101.91		6.79	CA
CAN04	Calgary	2011		0.055		64821.06		1142.34	110259.74		104.73		5.76	CA
CAN04	Calgary	2012				65926.15		1111.87	109798.8		107.6		4.78	CA
CAN04	Calgary	2013			42253.0	68085.56	0.435	1082.14	113151.95		110.56		4.76	CA
CAN06	Winnipeg	2000	15.01			32565.67		5082.78	60491.28		33.89		5.2	CA
CAN06	Winnipeg	2001				32804.63		5037.09	60925.33		34.2		5.28	CA
CAN06	Winnipeg	2002				33538.21		5007.42	60985.66		34.4		5.27	CA
CAN06	Winnipeg	2003				33091.21		4977.79	60624.7		34.61		5.17	CA
CAN06	Winnipeg	2004				33888.21		4948.21	61399.84		34.82		5.48	CA
CAN06	Winnipeg	2005	14.54			34266.31		4918.66	62431.76		35.03		4.91	CA
CAN06	Winnipeg	2006				35951.43		4889.14	64918.44		35.24		4.55	CA
CAN06	Winnipeg	2007				36706.41		4829.9	66018.59		35.67		4.64	CA
CAN06	Winnipeg	2008	13.41			36765.12		4771.18	66412.92		36.11		4.37	CA
CAN06	Winnipeg	2009				36174.94		4713.02	66402.32		36.55		5.42	CA
CAN06	Winnipeg	2010				36342.14		4655.38	66688.84		37.01		5.78	CA
CAN06	Winnipeg	2011		0.085		36563.03		4598.28	67906.41		37.47		5.81	CA
CAN06	Winnipeg	2012				37838.9		4556.14	69167.53		37.81		5.55	CA
CAN06	Winnipeg	2013			28728.0	38340.02	0.351	4514.29	70311.82		38.16		5.82	CA
CAN09	Vancouver	2000	14.62			35954.45		124.0	68700.84		389.4		6.11	CA
CAN09	Vancouver	2001				35500.32		122.03	68389.78		395.69		6.69	CA
CAN09	Vancouver	2002				35922.09		120.46	68135.98		400.83		7.79	CA
CAN09	Vancouver	2003				36390.39		118.91	68196.23		406.06		7.24	CA
CAN09	Vancouver	2004				37843.32		117.38	71201.99		411.37		6.76	CA
CAN09	Vancouver	2005	14.31			39125.57		115.86	72951.97		416.77		5.69	CA
CAN09	Vancouver	2006				40562.57		114.35	75087.73		422.26		4.47	CA
CAN09	Vancouver	2007				40791.22		112.14	74549.11		430.57		4.03	CA
CAN09	Vancouver	2008	13.44			39976.64		109.97	73390.94		439.07		4.22	CA
CAN09	Vancouver	2009				38614.54		107.83	73266.57		447.78		7.31	CA
CAN09	Vancouver	2010				38896.62		105.73	74309.21		456.69		7.5	CA
CAN09	Vancouver	2011		0.042		39060.28		103.66	74946.22		465.82		7.41	CA
CAN09	Vancouver	2012				38851.86		101.95	74395.14		473.62		6.88	CA
CAN09	Vancouver	2013			31072.0	39010.12	0.413	100.26	75714.26		481.58		6.71	CA
CAN16	Quebec	2000	15.35			33577.42		1886.12	70432.97		119.21		8.19	CA
CAN16	Quebec	2001				33816.42		1863.74	69373.91		120.64		8.03	CA
CAN16	Quebec	2002				34620.72		1849.13	66892.14		121.59		6.62	CA
CAN16	Quebec	2003				34628.22		1834.58	66652.03		122.56		7.05	CA
CAN16	Quebec	2004				34783.06		1820.09	66525.64		123.53		5.94	CA
CAN16	Quebec	2005	15.32			34506.33		1805.66	64422.19		124.52		5.9	CA
CAN16	Quebec	2006				34530.41		1791.28	65265.25		125.52		5.64	CA
CAN16	Quebec	2007				34758.36		1762.47	64948.49		127.57		5.2	CA
CAN16	Quebec	2008	14.21			33881.79		1733.98	63069.27		129.67		4.55	CA
CAN16	Quebec	2009				34408.84		1705.81	65004.49		131.81		5.57	CA
CAN16	Quebec	2010				34588.1		1677.97	64189.17		133.99		5.27	CA
CAN16	Quebec	2011		0.075		34628.41		1650.44	63921.95		136.23		5.66	CA
CAN16	Quebec	2012				34885.13		1630.11	64381.83		137.93		5.34	CA
CAN16	Quebec	2013			28055.0	34545.83	0.287	1609.97	64530.8		139.65		5.15	CA
CAN20	Montreal	2000	14.94			33577.42		847.75	68053.05		336.83		8.18	CA
CAN20	Montreal	2001				33816.42		837.79	68280.96		340.83		8.52	CA
CAN20	Montreal	2002				34620.72		828.58	68210.79		344.62		8.79	CA
CAN20	Montreal	2003				34628.22		819.39	68036.29		348.49		9.56	CA
CAN20	Montreal	2004				34783.06		810.2	68033.79		352.44		8.73	CA
CAN20	Montreal	2005	14.15			34506.33		801.01	67953.19		356.48		8.79	CA
CAN20	Montreal	2006				34530.41		791.84	67860.48		360.61		8.54	CA
CAN20	Montreal	2007				34758.36		781.48	67139.21		365.39		7.34	CA
CAN20	Montreal	2008	13.02			33881.79		771.17	65746.7		370.27		7.65	CA
CAN20	Montreal	2009				34408.84		760.93	68323.22		375.26		9.37	CA
CAN20	Montreal	2010				34588.1		750.74	67637.95		380.35		8.66	CA
CAN20	Montreal	2011		0.077		34628.41		740.61	68545.26		385.56		8.49	CA
CAN20	Montreal	2012				34885.13		731.14	68823.38		390.55		8.41	CA
CAN20	Montreal	2013			26494.0	34545.83	0.344	721.72	67402.96		395.65		8.06	CA
CAN21	Ottawa-Gatineau	2000	13.63			39537.46		4746.3	76192.43		69.57		6.14	CA
CAN21	Ottawa-Gatineau	2001				39820.15		4676.91	75253.9		70.61		6.6	CA
CAN21	Ottawa-Gatineau	2002				40882.62		4626.72	77527.71		71.37		7.5	CA
CAN21	Ottawa-Gatineau	2003				40411.44		4576.86	74326.39		72.15		7.04	CA
CAN21	Ottawa-Gatineau	2004				40534.74		4527.34	75578.78		72.94		6.8	CA
CAN21	Ottawa-Gatineau	2005	13.23			40366.53		4478.14	74689.84		73.74		6.77	CA
CAN21	Ottawa-Gatineau	2006				40308.46		4429.28	73307.52		74.55		5.66	CA
CAN21	Ottawa-Gatineau	2007				40212.49		4347.05	72517.47		75.96		5.78	CA
CAN21	Ottawa-Gatineau	2008	12.48			38732.07		4266.22	68262.14		77.4		5.21	CA
CAN21	Ottawa-Gatineau	2009				38661.45		4186.77	70598.66		78.87		6.33	CA
CAN21	Ottawa-Gatineau	2010				39189.63		4108.65	71939.89		80.37		7.02	CA
CAN21	Ottawa-Gatineau	2011		0.084		39141.2		4031.9	72586.79		81.9		6.79	CA
CAN21	Ottawa-Gatineau	2012				39270.64		3972.05	72355.37		83.13		6.45	CA
CAN21	Ottawa-Gatineau	2013			33325.0	39040.57	0.344	3912.99	74041.46		84.39		6.52	CA
CAN26	Toronto	2000	16.6			41384.55		1682.27	79279.37		371.86		5.48	CA
CAN26	Toronto	2001				41687.08		1654.19	78792.48		378.17		6.25	CA
CAN26	Toronto	2002				42843.24		1625.97	80657.09		384.73		7.21	CA
CAN26	Toronto	2003				42234.86		1597.58	78735.93		391.57		7.4	CA
CAN26	Toronto	2004				42361.08		1569.03	78985.97		398.69		7.19	CA
